plot,field,year,date,score,flight_date,image_filename
4143,C10,2025,6/30/25,5.0,6/28/25,20250628_C10_04143.jpg
1095,C7B,2025,7/1/25,7.5,7/1/25,20250701_C7B_01095.jpg
238,C7B,2025,7/4/25,6.5,7/4/25,20250704_C7B_00238.jpg
740,C7B,2025,7/18/25,4.0,7/18/25,20250718_C7B_00740.jpg
5139,C10,2025,7/2/25,7.0,7/4/25,20250704_C10_05139.jpg
4063,C10,2025,7/11/25,7.0,7/11/25,20250711_C10_04063.jpg
1237,C7B,2025,7/10/25,5.0,7/10/25,20250710_C7B_01237.jpg
4286,C10,2025,7/19/25,4.0,7/18/25,20250718_C10_04286.jpg
4439,C10,2025,7/7/25,5.5,7/7/25,20250707_C10_04439.jpg
10343,I3B,2023,7/25/23,5.5,7/27/23,20230727_I3B_10343.jpg
5388,C10,2025,7/11/25,4.0,7/11/25,20250711_C10_05388.jpg
5933,C10,2025,7/11/25,6.5,7/11/25,20250711_C10_05933.jpg
11136,I3B,2023,7/12/23,7.0,7/13/23,20230713_I3B_11136.jpg
2849,C7B,2025,7/8/25,8.0,7/7/25,20250707_C7B_02849.jpg
4207,C10,2025,7/19/25,2.5,7/18/25,20250718_C10_04207.jpg
1415,C7B,2025,7/1/25,8.0,7/1/25,20250701_C7B_01415.jpg
431,C7B,2025,7/10/25,4.0,7/10/25,20250710_C7B_00431.jpg
3128,G3,2023,7/19/23,5.5,7/20/23,20230720_G3_03128.jpg
7243,G3,2023,7/19/23,7.0,7/20/23,20230720_G3_07243.jpg
5612,C10,2025,7/2/25,6.0,7/4/25,20250704_C10_05612.jpg
4761,C10,2025,7/20/25,2.0,7/21/25,20250721_C10_04761.jpg
4272,C10,2025,6/30/25,7.0,6/28/25,20250628_C10_04272.jpg
574,C7B,2025,6/30/25,6.5,7/1/25,20250701_C7B_00574.jpg
8080,G3,2023,7/20/23,8.0,7/20/23,20230720_G3_08080.jpg
1893,C7B,2025,7/10/25,5.5,7/10/25,20250710_C7B_01893.jpg
570,C7B,2025,7/10/25,8.0,7/10/25,20250710_C7B_00570.jpg
4104,C10,2025,7/11/25,6.0,7/11/25,20250711_C10_04104.jpg
10401,I3B,2023,7/25/23,3.5,7/27/23,20230727_I3B_10401.jpg
23,C7B,2025,7/4/25,7.0,7/4/25,20250704_C7B_00023.jpg
5303,C10,2025,7/2/25,6.5,7/4/25,20250704_C10_05303.jpg
835,C7B,2025,7/10/25,7.0,7/10/25,20250710_C7B_00835.jpg
26,C7B,2025,7/18/25,6.0,7/18/25,20250718_C7B_00026.jpg
5943,C10,2025,7/8/25,3.0,7/7/25,20250707_C10_05943.jpg
14,C7B,2025,7/18/25,5.0,7/18/25,20250718_C7B_00014.jpg
1078,C7B,2025,7/10/25,6.0,7/10/25,20250710_C7B_01078.jpg
6686,C10,2025,7/3/25,8.0,7/4/25,20250704_C10_06686.jpg
2736,C7B,2025,7/8/25,7.5,7/7/25,20250707_C7B_02736.jpg
5014,C10,2025,7/11/25,5.5,7/11/25,20250711_C10_05014.jpg
4424,C10,2025,6/30/25,8.0,6/28/25,20250628_C10_04424.jpg
4048,C10,2025,7/11/25,5.5,7/11/25,20250711_C10_04048.jpg
1921,C7B,2025,7/10/25,5.0,7/10/25,20250710_C7B_01921.jpg
5952,C10,2025,7/19/25,1.5,7/18/25,20250718_C10_05952.jpg
5354,C10,2025,7/2/25,4.0,7/4/25,20250704_C10_05354.jpg
4130,C10,2025,7/11/25,4.0,7/11/25,20250711_C10_04130.jpg
645,C7B,2025,7/10/25,6.0,7/10/25,20250710_C7B_00645.jpg
1537,C7B,2025,7/1/25,5.5,7/1/25,20250701_C7B_01537.jpg
317,C7B,2025,7/10/25,7.5,7/10/25,20250710_C7B_00317.jpg
1290,C7B,2025,7/1/25,7.5,7/1/25,20250701_C7B_01290.jpg
1475,C7B,2025,7/18/25,5.0,7/18/25,20250718_C7B_01475.jpg
1756,C7B,2025,7/1/25,5.0,7/1/25,20250701_C7B_01756.jpg
520,C7B,2025,7/10/25,7.0,7/10/25,20250710_C7B_00520.jpg
2650,C7B,2025,7/18/25,7.0,7/18/25,20250718_C7B_02650.jpg
6649,C10,2025,7/14/25,4.0,7/14/25,20250714_C10_06649.jpg
5724,C10,2025,7/8/25,3.5,7/7/25,20250707_C10_05724.jpg
1655,C7B,2025,7/10/25,6.0,7/10/25,20250710_C7B_01655.jpg
5881,C10,2025,7/11/25,7.0,7/11/25,20250711_C10_05881.jpg
5762,C10,2025,7/8/25,5.5,7/7/25,20250707_C10_05762.jpg
4044,C10,2025,7/11/25,7.0,7/11/25,20250711_C10_04044.jpg
92,C7B,2025,7/18/25,3.0,7/18/25,20250718_C7B_00092.jpg
5592,C10,2025,7/20/25,1.5,7/21/25,20250721_C10_05592.jpg
4219,C10,2025,6/30/25,7.0,6/28/25,20250628_C10_04219.jpg
4163,C10,2025,7/19/25,3.5,7/18/25,20250718_C10_04163.jpg
5887,C10,2025,7/19/25,3.5,7/18/25,20250718_C10_05887.jpg
6048,C10,2025,7/2/25,7.0,7/4/25,20250704_C10_06048.jpg
7292,G3,2023,7/20/23,7.0,7/20/23,20230720_G3_07292.jpg
4292,C10,2025,7/19/25,2.5,7/18/25,20250718_C10_04292.jpg
1805,C7B,2025,7/1/25,8.0,7/1/25,20250701_C7B_01805.jpg
2749,C7B,2025,6/30/25,8.0,7/1/25,20250701_C7B_02749.jpg
4538,C10,2025,7/11/25,3.5,7/11/25,20250711_C10_04538.jpg
1216,C7B,2025,7/18/25,3.0,7/18/25,20250718_C7B_01216.jpg
79,C7B,2025,7/10/25,5.0,7/10/25,20250710_C7B_00079.jpg
9602,I3B,2023,7/12/23,7.0,7/13/23,20230713_I3B_09602.jpg
4787,C10,2025,7/20/25,4.0,7/21/25,20250721_C10_04787.jpg
9649,I3B,2023,7/12/23,5.5,7/13/23,20230713_I3B_09649.jpg
1754,C7B,2025,7/19/25,4.0,7/18/25,20250718_C7B_01754.jpg
5434,C10,2025,7/11/25,4.0,7/11/25,20250711_C10_05434.jpg
4226,C10,2025,6/30/25,7.5,6/28/25,20250628_C10_04226.jpg
550,C7B,2025,7/10/25,4.5,7/10/25,20250710_C7B_00550.jpg
2700,C7B,2025,7/8/25,8.0,7/7/25,20250707_C7B_02700.jpg
5298,C10,2025,7/11/25,4.0,7/11/25,20250711_C10_05298.jpg
7331,G3,2023,7/26/23,5.0,7/27/23,20230727_G3_07331.jpg
413,C7B,2025,6/30/25,6.0,7/1/25,20250701_C7B_00413.jpg
909,C7B,2025,7/1/25,7.0,7/1/25,20250701_C7B_00909.jpg
5712,C10,2025,7/19/25,2.0,7/18/25,20250718_C10_05712.jpg
4289,C10,2025,6/30/25,5.0,6/28/25,20250628_C10_04289.jpg
1784,C7B,2025,7/7/25,6.5,7/7/25,20250707_C7B_01784.jpg
11259,I3B,2023,7/19/23,5.0,7/20/23,20230720_I3B_11259.jpg
5625,C10,2025,7/11/25,7.0,7/11/25,20250711_C10_05625.jpg
5307,C10,2025,7/11/25,7.0,7/11/25,20250711_C10_05307.jpg
1814,C7B,2025,7/10/25,5.0,7/10/25,20250710_C7B_01814.jpg
5490,C10,2025,7/2/25,7.5,7/4/25,20250704_C10_05490.jpg
10886,I3B,2023,7/19/23,6.5,7/20/23,20230720_I3B_10886.jpg
968,C7B,2025,7/1/25,8.0,7/1/25,20250701_C7B_00968.jpg
7333,G3,2023,7/26/23,8.0,7/27/23,20230727_G3_07333.jpg
2765,C7B,2025,6/30/25,8.0,7/1/25,20250701_C7B_02765.jpg
6664,C10,2025,7/3/25,8.0,7/4/25,20250704_C10_06664.jpg
4528,C10,2025,7/2/25,4.0,7/4/25,20250704_C10_04528.jpg
11129,I3B,2023,7/12/23,6.0,7/13/23,20230713_I3B_11129.jpg
10026,I3B,2023,7/12/23,5.5,7/13/23,20230713_I3B_10026.jpg
1414,C7B,2025,7/10/25,5.0,7/10/25,20250710_C7B_01414.jpg
6704,C10,2025,7/14/25,6.5,7/14/25,20250714_C10_06704.jpg
10884,I3B,2023,7/19/23,5.0,7/20/23,20230720_I3B_10884.jpg
167,C7B,2025,6/30/25,7.0,7/1/25,20250701_C7B_00167.jpg
4299,C10,2025,7/19/25,2.0,7/18/25,20250718_C10_04299.jpg
10317,I3B,2023,7/25/23,4.0,7/27/23,20230727_I3B_10317.jpg
808,C7B,2025,7/18/25,4.0,7/18/25,20250718_C7B_00808.jpg
9974,I3B,2023,7/12/23,5.5,7/13/23,20230713_I3B_09974.jpg
11012,I3B,2023,7/19/23,7.5,7/20/23,20230720_I3B_11012.jpg
7342,G3,2023,7/26/23,7.5,7/27/23,20230727_G3_07342.jpg
4855,C10,2025,7/2/25,7.0,7/4/25,20250704_C10_04855.jpg
746,C7B,2025,7/18/25,2.0,7/18/25,20250718_C7B_00746.jpg
5330,C10,2025,7/11/25,6.5,7/11/25,20250711_C10_05330.jpg
4101,C10,2025,7/7/25,8.0,7/7/25,20250707_C10_04101.jpg
1468,C7B,2025,7/1/25,5.0,7/1/25,20250701_C7B_01468.jpg
994,C7B,2025,7/10/25,6.5,7/10/25,20250710_C7B_00994.jpg
5105,C10,2025,7/20/25,2.0,7/21/25,20250721_C10_05105.jpg
5893,C10,2025,7/8/25,5.0,7/7/25,20250707_C10_05893.jpg
4410,C10,2025,6/30/25,5.0,6/28/25,20250628_C10_04410.jpg
11109,I3B,2023,7/12/23,7.5,7/13/23,20230713_I3B_11109.jpg
4416,C10,2025,7/7/25,5.0,7/7/25,20250707_C10_04416.jpg
5819,C10,2025,7/19/25,6.0,7/18/25,20250718_C10_05819.jpg
4581,C10,2025,7/20/25,1.5,7/21/25,20250721_C10_04581.jpg
4239,C10,2025,7/19/25,5.0,7/18/25,20250718_C10_04239.jpg
4927,C10,2025,7/11/25,5.5,7/11/25,20250711_C10_04927.jpg
171,C7B,2025,7/18/25,4.5,7/18/25,20250718_C7B_00171.jpg
7410,G3,2023,7/26/23,7.0,7/27/23,20230727_G3_07410.jpg
4026,C10,2025,7/7/25,6.5,7/7/25,20250707_C10_04026.jpg
5173,C10,2025,7/2/25,4.5,7/4/25,20250704_C10_05173.jpg
3168,G3,2023,7/26/23,6.0,7/27/23,20230727_G3_03168.jpg
6000,C10,2025,7/19/25,4.0,7/18/25,20250718_C10_06000.jpg
1286,C7B,2025,7/18/25,2.0,7/18/25,20250718_C7B_01286.jpg
4103,C10,2025,6/30/25,7.0,6/28/25,20250628_C10_04103.jpg
5830,C10,2025,7/8/25,7.5,7/7/25,20250707_C10_05830.jpg
4094,C10,2025,7/19/25,5.0,7/18/25,20250718_C10_04094.jpg
6828,C10,2025,7/14/25,6.5,7/14/25,20250714_C10_06828.jpg
4532,C10,2025,7/20/25,4.0,7/21/25,20250721_C10_04532.jpg
4897,C10,2025,7/11/25,6.0,7/11/25,20250711_C10_04897.jpg
330,C7B,2025,7/10/25,6.0,7/10/25,20250710_C7B_00330.jpg
4376,C10,2025,7/19/25,2.0,7/18/25,20250718_C10_04376.jpg
130,C7B,2025,7/4/25,7.5,7/4/25,20250704_C7B_00130.jpg
521,C7B,2025,7/10/25,6.0,7/10/25,20250710_C7B_00521.jpg
4178,C10,2025,7/7/25,7.0,7/7/25,20250707_C10_04178.jpg
5392,C10,2025,7/11/25,4.0,7/11/25,20250711_C10_05392.jpg
9887,I3B,2023,7/12/23,4.0,7/13/23,20230713_I3B_09887.jpg
4920,C10,2025,7/11/25,5.5,7/11/25,20250711_C10_04920.jpg
5840,C10,2025,7/11/25,4.0,7/11/25,20250711_C10_05840.jpg
5947,C10,2025,7/8/25,6.0,7/7/25,20250707_C10_05947.jpg
5807,C10,2025,7/11/25,6.0,7/11/25,20250711_C10_05807.jpg
2665,C7B,2025,7/13/25,4.5,7/12/25,20250712_C7B_02665.jpg
469,C7B,2025,7/18/25,5.0,7/18/25,20250718_C7B_00469.jpg
1870,C7B,2025,7/19/25,3.0,7/18/25,20250718_C7B_01870.jpg
959,C7B,2025,7/1/25,6.0,7/1/25,20250701_C7B_00959.jpg
5823,C10,2025,7/19/25,3.0,7/18/25,20250718_C10_05823.jpg
11001,I3B,2023,7/19/23,5.0,7/20/23,20230720_I3B_11001.jpg
6845,C10,2025,7/3/25,7.5,7/4/25,20250704_C10_06845.jpg
1209,C7B,2025,7/18/25,2.0,7/18/25,20250718_C7B_01209.jpg
1333,C7B,2025,7/1/25,5.0,7/1/25,20250701_C7B_01333.jpg
1492,C7B,2025,7/18/25,2.0,7/18/25,20250718_C7B_01492.jpg
5925,C10,2025,7/1/25,5.0,6/28/25,20250628_C10_05925.jpg
2850,C7B,2025,7/18/25,6.0,7/18/25,20250718_C7B_02850.jpg
1575,C7B,2025,7/1/25,6.0,7/1/25,20250701_C7B_01575.jpg
3185,G3,2023,7/19/23,4.0,7/20/23,20230720_G3_03185.jpg
4890,C10,2025,7/11/25,6.0,7/11/25,20250711_C10_04890.jpg
6025,C10,2025,7/19/25,3.0,7/18/25,20250718_C10_06025.jpg
1286,C7B,2025,7/1/25,6.0,7/1/25,20250701_C7B_01286.jpg
139,C7B,2025,7/10/25,8.0,7/10/25,20250710_C7B_00139.jpg
4439,C10,2025,6/30/25,7.0,6/28/25,20250628_C10_04439.jpg
1297,C7B,2025,7/1/25,5.5,7/1/25,20250701_C7B_01297.jpg
1895,C7B,2025,7/7/25,5.0,7/7/25,20250707_C7B_01895.jpg
2788,C7B,2025,7/18/25,7.5,7/18/25,20250718_C7B_02788.jpg
751,C7B,2025,7/10/25,7.5,7/10/25,20250710_C7B_00751.jpg
4661,C10,2025,7/2/25,6.0,7/4/25,20250704_C10_04661.jpg
10421,I3B,2023,7/25/23,4.0,7/27/23,20230727_I3B_10421.jpg
7456,G3,2023,7/20/23,7.5,7/20/23,20230720_G3_07456.jpg
5598,C10,2025,7/11/25,7.0,7/11/25,20250711_C10_05598.jpg
9909,I3B,2023,7/12/23,5.0,7/13/23,20230713_I3B_09909.jpg
4874,C10,2025,7/20/25,2.0,7/21/25,20250721_C10_04874.jpg
4731,C10,2025,7/20/25,3.0,7/21/25,20250721_C10_04731.jpg
5979,C10,2025,7/8/25,7.5,7/7/25,20250707_C10_05979.jpg
1114,C7B,2025,7/18/25,5.0,7/18/25,20250718_C7B_01114.jpg
6632,C10,2025,6/30/25,8.0,6/28/25,20250628_C10_06632.jpg
5910,C10,2025,7/11/25,8.0,7/11/25,20250711_C10_05910.jpg
10417,I3B,2023,7/25/23,3.0,7/27/23,20230727_I3B_10417.jpg
4435,C10,2025,7/7/25,7.0,7/7/25,20250707_C10_04435.jpg
1606,C7B,2025,7/18/25,4.0,7/18/25,20250718_C7B_01606.jpg
5221,C10,2025,7/2/25,5.0,7/4/25,20250704_C10_05221.jpg
308,C7B,2025,7/10/25,4.0,7/10/25,20250710_C7B_00308.jpg
937,C7B,2025,7/1/25,6.5,7/1/25,20250701_C7B_00937.jpg
2850,C7B,2025,7/8/25,7.5,7/7/25,20250707_C7B_02850.jpg
4287,C10,2025,7/11/25,4.5,7/11/25,20250711_C10_04287.jpg
6043,C10,2025,7/19/25,1.0,7/18/25,20250718_C10_06043.jpg
5173,C10,2025,7/11/25,3.5,7/11/25,20250711_C10_05173.jpg
4005,C10,2025,6/30/25,6.0,6/28/25,20250628_C10_04005.jpg
9593,I3B,2023,7/12/23,7.0,7/13/23,20230713_I3B_09593.jpg
4500,C10,2025,7/11/25,4.0,7/11/25,20250711_C10_04500.jpg
7460,G3,2023,7/20/23,8.0,7/20/23,20230720_G3_07460.jpg
817,C7B,2025,7/18/25,3.0,7/18/25,20250718_C7B_00817.jpg
1574,C7B,2025,7/1/25,7.0,7/1/25,20250701_C7B_01574.jpg
853,C7B,2025,7/1/25,7.5,7/1/25,20250701_C7B_00853.jpg
10239,I3B,2023,7/25/23,4.0,7/27/23,20230727_I3B_10239.jpg
715,C7B,2025,7/18/25,4.5,7/18/25,20250718_C7B_00715.jpg
5920,C10,2025,7/1/25,7.0,6/28/25,20250628_C10_05920.jpg
10999,I3B,2023,7/19/23,6.0,7/20/23,20230720_I3B_10999.jpg
5474,C10,2025,7/20/25,2.0,7/21/25,20250721_C10_05474.jpg
4994,C10,2025,7/11/25,4.0,7/11/25,20250711_C10_04994.jpg
1610,C7B,2025,7/1/25,6.0,7/1/25,20250701_C7B_01610.jpg
2723,C7B,2025,7/13/25,8.0,7/12/25,20250712_C7B_02723.jpg
1699,C7B,2025,7/19/25,3.0,7/18/25,20250718_C7B_01699.jpg
2831,C7B,2025,7/13/25,6.5,7/12/25,20250712_C7B_02831.jpg
877,C7B,2025,7/18/25,3.0,7/18/25,20250718_C7B_00877.jpg
5429,C10,2025,7/11/25,5.5,7/11/25,20250711_C10_05429.jpg
9677,I3B,2023,7/12/23,5.0,7/13/23,20230713_I3B_09677.jpg
1952,C7B,2025,7/7/25,5.5,7/7/25,20250707_C7B_01952.jpg
6780,C10,2025,6/30/25,8.0,6/28/25,20250628_C10_06780.jpg
5832,C10,2025,7/11/25,7.5,7/11/25,20250711_C10_05832.jpg
1787,C7B,2025,7/1/25,6.0,7/1/25,20250701_C7B_01787.jpg
1905,C7B,2025,7/10/25,5.0,7/10/25,20250710_C7B_01905.jpg
927,C7B,2025,7/1/25,7.5,7/1/25,20250701_C7B_00927.jpg
8126,G3,2023,7/20/23,7.5,7/20/23,20230720_G3_08126.jpg
5049,C10,2025,7/20/25,1.5,7/21/25,20250721_C10_05049.jpg
7473,G3,2023,7/26/23,4.0,7/27/23,20230727_G3_07473.jpg
254,C7B,2025,7/18/25,4.0,7/18/25,20250718_C7B_00254.jpg
1543,C7B,2025,7/10/25,4.5,7/10/25,20250710_C7B_01543.jpg
6823,C10,2025,7/14/25,7.5,7/14/25,20250714_C10_06823.jpg
5425,C10,2025,7/11/25,3.5,7/11/25,20250711_C10_05425.jpg
5855,C10,2025,7/19/25,5.0,7/18/25,20250718_C10_05855.jpg
1857,C7B,2025,7/1/25,8.0,7/1/25,20250701_C7B_01857.jpg
2013,C7B,2025,7/1/25,8.0,7/1/25,20250701_C7B_02013.jpg
8048,G3,2023,7/19/23,7.5,7/20/23,20230720_G3_08048.jpg
4280,C10,2025,7/7/25,7.0,7/7/25,20250707_C10_04280.jpg
5160,C10,2025,7/11/25,4.0,7/11/25,20250711_C10_05160.jpg
2682,C7B,2025,6/30/25,7.5,7/1/25,20250701_C7B_02682.jpg
5347,C10,2025,7/2/25,7.5,7/4/25,20250704_C10_05347.jpg
7349,G3,2023,7/26/23,6.0,7/27/23,20230727_G3_07349.jpg
756,C7B,2025,6/30/25,7.0,7/1/25,20250701_C7B_00756.jpg
4816,C10,2025,7/2/25,6.0,7/4/25,20250704_C10_04816.jpg
386,C7B,2025,7/10/25,7.0,7/10/25,20250710_C7B_00386.jpg
5438,C10,2025,7/11/25,4.0,7/11/25,20250711_C10_05438.jpg
8167,G3,2023,7/26/23,8.0,7/27/23,20230727_G3_08167.jpg
4935,C10,2025,7/20/25,4.0,7/21/25,20250721_C10_04935.jpg
515,C7B,2025,7/18/25,2.0,7/18/25,20250718_C7B_00515.jpg
6037,C10,2025,7/19/25,1.5,7/18/25,20250718_C10_06037.jpg
4959,C10,2025,7/2/25,6.0,7/4/25,20250704_C10_04959.jpg
5543,C10,2025,7/11/25,5.5,7/11/25,20250711_C10_05543.jpg
5538,C10,2025,7/2/25,5.0,7/4/25,20250704_C10_05538.jpg
1410,C7B,2025,7/18/25,2.5,7/18/25,20250718_C7B_01410.jpg
9971,I3B,2023,7/12/23,5.5,7/13/23,20230713_I3B_09971.jpg
1674,C7B,2025,7/10/25,4.0,7/10/25,20250710_C7B_01674.jpg
882,C7B,2025,7/1/25,6.0,7/1/25,20250701_C7B_00882.jpg
5165,C10,2025,7/11/25,5.0,7/11/25,20250711_C10_05165.jpg
722,C7B,2025,7/10/25,6.5,7/10/25,20250710_C7B_00722.jpg
2670,C7B,2025,7/18/25,8.0,7/18/25,20250718_C7B_02670.jpg
104,C7B,2025,6/30/25,7.5,7/1/25,20250701_C7B_00104.jpg
5759,C10,2025,7/19/25,4.0,7/18/25,20250718_C10_05759.jpg
5122,C10,2025,7/20/25,1.5,7/21/25,20250721_C10_05122.jpg
769,C7B,2025,7/18/25,3.5,7/18/25,20250718_C7B_00769.jpg
7207,G3,2023,7/26/23,6.0,7/27/23,20230727_G3_07207.jpg
1469,C7B,2025,7/18/25,3.0,7/18/25,20250718_C7B_01469.jpg
5661,C10,2025,7/19/25,2.5,7/18/25,20250718_C10_05661.jpg
4078,C10,2025,7/11/25,4.0,7/11/25,20250711_C10_04078.jpg
1743,C7B,2025,7/7/25,6.0,7/7/25,20250707_C7B_01743.jpg
3210,G3,2023,7/19/23,7.5,7/20/23,20230720_G3_03210.jpg
3107,G3,2023,7/26/23,8.0,7/27/23,20230727_G3_03107.jpg
7358,G3,2023,7/26/23,4.0,7/27/23,20230727_G3_07358.jpg
757,C7B,2025,7/18/25,2.0,7/18/25,20250718_C7B_00757.jpg
4010,C10,2025,7/7/25,7.0,7/7/25,20250707_C10_04010.jpg
5890,C10,2025,7/8/25,7.5,7/7/25,20250707_C10_05890.jpg
8042,G3,2023,7/26/23,5.0,7/27/23,20230727_G3_08042.jpg
4982,C10,2025,7/2/25,8.0,7/4/25,20250704_C10_04982.jpg
10324,I3B,2023,7/25/23,5.0,7/27/23,20230727_I3B_10324.jpg
5004,C10,2025,7/11/25,4.0,7/11/25,20250711_C10_05004.jpg
5496,C10,2025,7/11/25,7.0,7/11/25,20250711_C10_05496.jpg
1207,C7B,2025,7/1/25,6.5,7/1/25,20250701_C7B_01207.jpg
206,C7B,2025,7/18/25,3.5,7/18/25,20250718_C7B_00206.jpg
925,C7B,2025,7/1/25,6.0,7/1/25,20250701_C7B_00925.jpg
8096,G3,2023,7/20/23,5.0,7/20/23,20230720_G3_08096.jpg
10966,I3B,2023,7/19/23,6.0,7/20/23,20230720_I3B_10966.jpg
5210,C10,2025,7/11/25,4.0,7/11/25,20250711_C10_05210.jpg
6670,C10,2025,7/14/25,7.0,7/14/25,20250714_C10_06670.jpg
6828,C10,2025,6/30/25,8.0,6/28/25,20250628_C10_06828.jpg
7411,G3,2023,7/20/23,7.5,7/20/23,20230720_G3_07411.jpg
5394,C10,2025,7/20/25,2.5,7/21/25,20250721_C10_05394.jpg
312,C7B,2025,6/30/25,7.0,7/1/25,20250701_C7B_00312.jpg
10395,I3B,2023,7/25/23,5.0,7/27/23,20230727_I3B_10395.jpg
4065,C10,2025,6/30/25,7.5,6/28/25,20250628_C10_04065.jpg
1144,C7B,2025,7/1/25,7.5,7/1/25,20250701_C7B_01144.jpg
863,C7B,2025,7/1/25,6.5,7/1/25,20250701_C7B_00863.jpg
819,C7B,2025,7/10/25,7.0,7/10/25,20250710_C7B_00819.jpg
5240,C10,2025,7/2/25,7.5,7/4/25,20250704_C10_05240.jpg
1330,C7B,2025,7/18/25,2.0,7/18/25,20250718_C7B_01330.jpg
4788,C10,2025,7/2/25,7.0,7/4/25,20250704_C10_04788.jpg
3169,G3,2023,7/26/23,7.0,7/27/23,20230727_G3_03169.jpg
8046,G3,2023,7/19/23,7.5,7/20/23,20230720_G3_08046.jpg
4112,C10,2025,7/7/25,6.0,7/7/25,20250707_C10_04112.jpg
5667,C10,2025,7/8/25,5.5,7/7/25,20250707_C10_05667.jpg
476,C7B,2025,6/30/25,7.5,7/1/25,20250701_C7B_00476.jpg
221,C7B,2025,7/10/25,7.5,7/10/25,20250710_C7B_00221.jpg
6049,C10,2025,7/11/25,5.0,7/11/25,20250711_C10_06049.jpg
776,C7B,2025,7/18/25,4.0,7/18/25,20250718_C7B_00776.jpg
2809,C7B,2025,7/18/25,5.0,7/18/25,20250718_C7B_02809.jpg
5111,C10,2025,7/11/25,5.0,7/11/25,20250711_C10_05111.jpg
935,C7B,2025,7/10/25,8.0,7/10/25,20250710_C7B_00935.jpg
7227,G3,2023,7/26/23,2.0,7/27/23,20230727_G3_07227.jpg
1884,C7B,2025,7/10/25,3.5,7/10/25,20250710_C7B_01884.jpg
1079,C7B,2025,7/18/25,2.5,7/18/25,20250718_C7B_01079.jpg
6642,C10,2025,7/3/25,7.5,7/4/25,20250704_C10_06642.jpg
5430,C10,2025,7/20/25,1.5,7/21/25,20250721_C10_05430.jpg
4046,C10,2025,7/7/25,6.0,7/7/25,20250707_C10_04046.jpg
6790,C10,2025,7/8/25,8.5,7/7/25,20250707_C10_06790.jpg
377,C7B,2025,7/4/25,5.0,7/4/25,20250704_C7B_00377.jpg
5522,C10,2025,7/11/25,4.0,7/11/25,20250711_C10_05522.jpg
1773,C7B,2025,7/1/25,7.5,7/1/25,20250701_C7B_01773.jpg
3075,G3,2023,7/19/23,8.5,7/20/23,20230720_G3_03075.jpg
649,C7B,2025,7/18/25,5.0,7/18/25,20250718_C7B_00649.jpg
5254,C10,2025,7/11/25,5.0,7/11/25,20250711_C10_05254.jpg
5507,C10,2025,7/11/25,7.0,7/11/25,20250711_C10_05507.jpg
4450,C10,2025,7/7/25,7.0,7/7/25,20250707_C10_04450.jpg
196,C7B,2025,7/10/25,7.5,7/10/25,20250710_C7B_00196.jpg
6728,C10,2025,7/14/25,7.5,7/14/25,20250714_C10_06728.jpg
4831,C10,2025,7/2/25,5.0,7/4/25,20250704_C10_04831.jpg
